date,pm25,retail,electricity,temperature,phase
2017-11-05,335.57142857142856,68.75401069518716,67.42857142857143,22.785714285714285,pre_covid
2017-11-12,453.0,72.75133689839572,63.471428571428575,20.66857142857143,pre_covid
2017-11-19,351.85714285714283,75.14973262032085,61.785714285714285,19.304285714285715,pre_covid
2017-11-26,332.42857142857144,71.1524064171123,59.21428571428572,16.09714285714286,pre_covid
2017-12-03,347.85714285714283,70.35294117647058,60.4,17.257142857142856,pre_covid
2017-12-10,308.7142857142857,69.55347593582887,60.75714285714286,17.197142857142858,pre_covid
2017-12-17,264.1428571428572,67.95454545454545,63.24285714285715,13.99,pre_covid
2017-12-24,315.57142857142856,67.15508021390374,64.54285714285714,15.155714285714286,pre_covid
2017-12-31,377.4285714285714,63.15775401069519,63.64285714285715,14.344285714285714,pre_covid
2018-01-07,388.8571428571428,62.35828877005348,66.88571428571427,11.851428571428572,pre_covid
2018-01-14,326.57142857142856,60.75935828877005,67.11428571428571,13.407142857142857,pre_covid
2018-01-21,334.85714285714283,65.55614973262031,65.64285714285714,14.705714285714285,pre_covid
2018-01-28,289.42857142857144,62.35828877005348,64.72857142857143,13.09142857142857,pre_covid
2018-02-04,268.85714285714283,59.16042780748663,64.38571428571429,17.172857142857143,pre_covid
2018-02-11,303.85714285714283,58.36096256684492,63.94285714285714,16.55857142857143,pre_covid
2018-02-18,213.0,51.965240641711226,62.628571428571426,17.794285714285714,pre_covid
2018-02-25,298.0,49.56684491978609,61.38571428571429,22.91714285714286,pre_covid
2018-03-04,212.28571428571428,53.56417112299465,57.75714285714286,23.664285714285715,pre_covid
2018-03-11,198.42857142857144,55.16310160427808,62.25714285714285,23.184285714285718,pre_covid
2018-03-18,229.42857142857144,59.16042780748663,66.91428571428573,25.388571428571428,pre_covid
2018-03-25,198.0,59.95989304812834,69.0142857142857,26.24,pre_covid
2018-04-01,221.42857142857144,57.56149732620321,74.5142857142857,28.004285714285714,pre_covid
2018-04-08,201.57142857142856,56.76203208556149,82.68571428571428,30.69428571428572,pre_covid
2018-04-15,174.14285714285714,56.76203208556149,79.58571428571429,29.027142857142856,pre_covid
2018-04-22,259.1428571428572,49.56684491978609,89.64285714285714,31.395714285714284,pre_covid
2018-04-29,264.57142857142856,53.56417112299465,96.54285714285713,33.107142857142854,pre_covid
2018-05-06,182.8571428571429,53.56417112299465,98.82857142857144,33.82,pre_covid
2018-05-13,221.0,53.56417112299465,101.0,34.08571428571428,pre_covid
2018-05-20,199.0,58.36096256684492,105.5,35.50142857142857,pre_covid
2018-05-27,244.42857142857144,56.76203208556149,117.4,37.29857142857143,pre_covid
2018-06-03,227.7142857142857,59.16042780748663,124.6,36.59857142857143,pre_covid
2018-06-10,159.42857142857142,63.957219251336895,127.47142857142856,36.46428571428572,pre_covid
2018-06-17,351.42857142857144,62.35828877005348,129.27142857142857,37.12571428571429,pre_covid
2018-06-24,190.28571428571428,57.56149732620321,127.12857142857142,37.91285714285714,pre_covid
2018-07-01,104.42857142857144,54.07717349861666,120.62857142857145,33.892857142857146,pre_covid
2018-07-08,137.14285714285714,54.75313816734936,121.62857142857142,34.06142857142857,pre_covid
2018-07-15,113.0,57.4569968422802,126.38571428571429,32.902857142857144,pre_covid
2018-07-22,89.14285714285714,56.105067504814784,119.39999999999999,31.51,pre_covid
2018-07-29,72.85714285714286,55.42910283608207,113.53095238095239,29.235714285714288,pre_covid
2018-08-05,186.42857142857144,57.4569968422802,113.60000000000001,28.391428571428573,pre_covid
2018-08-12,100.14285714285714,57.4569968422802,112.31428571428572,28.82,pre_covid
2018-08-19,95.71428571428572,55.42910283608207,114.05714285714285,29.454285714285717,pre_covid
2018-08-26,88.28571428571429,54.75313816734936,112.17142857142858,28.78857142857143,pre_covid
2018-09-02,89.42857142857143,54.07717349861666,106.87142857142858,27.87,pre_covid
2018-09-09,92.85714285714286,52.72524416115124,111.39999999999999,27.465714285714284,pre_covid
2018-09-16,99.57142857142856,53.40120882988395,112.07142857142857,26.94428571428572,pre_covid
