date,pm25,electricity,temperature,phase
2017-09-03,71.33333333333333,113.75,28.66,pre_covid
2017-09-10,113.71428571428572,115.56428571428572,29.544285714285717,pre_covid
2017-09-17,153.85714285714286,112.07142857142857,29.842857142857145,pre_covid
2017-09-24,122.28571428571428,98.94285714285714,27.49142857142857,pre_covid
2017-10-01,185.8571428571429,93.15714285714286,27.13,pre_covid
2017-10-08,199.66666666666663,92.91428571428573,26.56714285714286,pre_covid
2017-10-15,260.8333333333333,92.47142857142856,27.595714285714283,pre_covid
2017-10-22,319.0,78.24285714285715,25.867142857142856,pre_covid
2017-10-29,324.57142857142856,74.87142857142858,23.83857142857143,pre_covid
2017-11-05,335.57142857142856,67.42857142857143,22.785714285714285,pre_covid
2017-11-12,453.0,63.471428571428575,20.66857142857143,pre_covid
2017-11-19,351.85714285714283,61.785714285714285,19.304285714285715,pre_covid
2017-11-26,332.42857142857144,59.21428571428572,16.09714285714286,pre_covid
2017-12-03,347.85714285714283,60.4,17.257142857142856,pre_covid
2017-12-10,308.7142857142857,60.75714285714286,17.197142857142858,pre_covid
2017-12-17,264.1428571428572,63.24285714285715,13.99,pre_covid
2017-12-24,315.57142857142856,64.54285714285714,15.155714285714286,pre_covid
2017-12-31,377.4285714285714,63.64285714285715,14.344285714285714,pre_covid
2018-01-07,388.8571428571428,66.88571428571427,11.851428571428572,pre_covid
2018-01-14,326.57142857142856,67.11428571428571,13.407142857142857,pre_covid
2018-01-21,334.85714285714283,65.64285714285714,14.705714285714285,pre_covid
2018-01-28,289.42857142857144,64.72857142857143,13.09142857142857,pre_covid
2018-02-04,268.85714285714283,64.38571428571429,17.172857142857143,pre_covid
2018-02-11,303.85714285714283,63.94285714285714,16.55857142857143,pre_covid
2018-02-18,213.0,62.628571428571426,17.794285714285714,pre_covid
2018-02-25,298.0,61.38571428571429,22.91714285714286,pre_covid
2018-03-04,212.28571428571428,57.75714285714286,23.664285714285715,pre_covid
2018-03-11,198.42857142857144,62.25714285714285,23.184285714285718,pre_covid
2018-03-18,229.42857142857144,66.91428571428573,25.388571428571428,pre_covid
2018-03-25,198.0,69.0142857142857,26.24,pre_covid
2018-04-01,221.42857142857144,74.5142857142857,28.004285714285714,pre_covid
2018-04-08,201.57142857142856,82.68571428571428,30.69428571428572,pre_covid
2018-04-15,174.14285714285714,79.58571428571429,29.027142857142856,pre_covid
2018-04-22,259.1428571428572,89.64285714285714,31.395714285714284,pre_covid
2018-04-29,264.57142857142856,96.54285714285713,33.107142857142854,pre_covid
2018-05-06,182.8571428571429,98.82857142857144,33.82,pre_covid
2018-05-13,221.0,101.0,34.08571428571428,pre_covid
2018-05-20,199.0,105.5,35.50142857142857,pre_covid
2018-05-27,244.42857142857144,117.4,37.29857142857143,pre_covid
2018-06-03,227.7142857142857,124.6,36.59857142857143,pre_covid
2018-06-10,159.42857142857142,127.47142857142856,36.46428571428572,pre_covid
2018-06-17,351.42857142857144,129.27142857142857,37.12571428571429,pre_covid
2018-06-24,190.28571428571428,127.12857142857142,37.91285714285714,pre_covid
2018-07-01,104.42857142857144,120.62857142857145,33.892857142857146,pre_covid
2018-07-08,137.14285714285714,121.62857142857142,34.06142857142857,pre_covid
2018-07-15,113.0,126.38571428571429,32.902857142857144,pre_covid
2018-07-22,89.14285714285714,119.39999999999999,31.51,pre_covid
2018-07-29,72.85714285714286,113.53095238095239,29.235714285714288,pre_covid
2018-08-05,186.42857142857144,113.60000000000001,28.391428571428573,pre_covid
2018-08-12,100.14285714285714,112.31428571428572,28.82,pre_covid
2018-08-19,95.71428571428572,114.05714285714285,29.454285714285717,pre_covid
2018-08-26,88.28571428571429,112.17142857142858,28.78857142857143,pre_covid
2018-09-02,89.42857142857143,106.87142857142858,27.87,pre_covid
2018-09-09,92.85714285714286,111.39999999999999,27.465714285714284,pre_covid
2018-09-16,99.57142857142856,112.07142857142857,26.94428571428572,pre_covid
2018-09-23,123.14285714285714,101.57142857142857,26.467142857142857,pre_covid
2018-09-30,131.42857142857142,87.8,25.672857142857143,pre_covid
2018-10-07,191.42857142857144,92.37142857142858,25.60571428571429,pre_covid
2018-10-14,224.0,84.9,23.927142857142854,pre_covid
2018-10-21,291.57142857142856,74.77142857142857,23.434285714285718,pre_covid
2018-10-28,323.1428571428572,71.32857142857142,22.04,pre_covid
2018-11-04,342.85714285714283,69.8,22.37857142857143,pre_covid
2018-11-11,380.57142857142856,57.25714285714286,19.04714285714286,pre_covid
2018-11-18,314.2857142857143,60.785714285714285,20.08428571428572,pre_covid
2018-11-25,314.1428571428572,60.628571428571426,18.612857142857145,pre_covid
2018-12-02,331.0,61.214285714285715,18.427142857142854,pre_covid
2018-12-09,347.57142857142856,62.471428571428575,16.157142857142855,pre_covid
2018-12-16,313.42857142857144,63.057142857142864,14.357142857142858,pre_covid
2018-12-23,384.8571428571428,65.9857142857143,12.191428571428572,pre_covid
2018-12-30,404.57142857142856,67.88571428571429,10.661428571428573,pre_covid
2019-01-06,402.2857142857143,68.98571428571428,12.15,pre_covid
2019-01-13,348.7142857142857,69.47142857142856,13.38,pre_covid
2019-01-20,353.42857142857144,70.04285714285713,13.41,pre_covid
2019-01-27,231.28571428571428,67.37142857142858,12.781428571428572,pre_covid
2019-02-03,308.0,70.75714285714285,11.838571428571427,pre_covid
2019-02-10,253.7142857142857,67.88571428571429,14.618571428571428,pre_covid
