date,pm25,retail,temperature,phase
2017-09-03,71.33333333333333,60.0,28.66,pre_covid
2017-09-10,113.71428571428572,60.0,29.544285714285717,pre_covid
2017-09-17,153.85714285714286,72.0,29.842857142857145,pre_covid
2017-09-24,122.28571428571428,72.0,27.49142857142857,pre_covid
2017-10-01,185.8571428571429,79.94652406417111,27.13,pre_covid
2017-10-08,199.66666666666663,78.3475935828877,26.56714285714286,pre_covid
2017-10-15,260.8333333333333,69.55347593582887,27.595714285714283,pre_covid
2017-10-22,319.0,59.95989304812834,25.867142857142856,pre_covid
2017-10-29,324.57142857142856,63.957219251336895,23.83857142857143,pre_covid
2017-11-05,335.57142857142856,68.75401069518716,22.785714285714285,pre_covid
2017-11-12,453.0,72.75133689839572,20.66857142857143,pre_covid
2017-11-19,351.85714285714283,75.14973262032085,19.304285714285715,pre_covid
2017-11-26,332.42857142857144,71.1524064171123,16.09714285714286,pre_covid
2017-12-03,347.85714285714283,70.35294117647058,17.257142857142856,pre_covid
2017-12-10,308.7142857142857,69.55347593582887,17.197142857142858,pre_covid
2017-12-17,264.1428571428572,67.95454545454545,13.99,pre_covid
2017-12-24,315.57142857142856,67.15508021390374,15.155714285714286,pre_covid
2017-12-31,377.4285714285714,63.15775401069519,14.344285714285714,pre_covid
2018-01-07,388.8571428571428,62.35828877005348,11.851428571428572,pre_covid
2018-01-14,326.57142857142856,60.75935828877005,13.407142857142857,pre_covid
2018-01-21,334.85714285714283,65.55614973262031,14.705714285714285,pre_covid
2018-01-28,289.42857142857144,62.35828877005348,13.09142857142857,pre_covid
2018-02-04,268.85714285714283,59.16042780748663,17.172857142857143,pre_covid
2018-02-11,303.85714285714283,58.36096256684492,16.55857142857143,pre_covid
2018-02-18,213.0,51.965240641711226,17.794285714285714,pre_covid
2018-02-25,298.0,49.56684491978609,22.91714285714286,pre_covid
2018-03-04,212.28571428571428,53.56417112299465,23.664285714285715,pre_covid
2018-03-11,198.42857142857144,55.16310160427808,23.184285714285718,pre_covid
2018-03-18,229.42857142857144,59.16042780748663,25.388571428571428,pre_covid
2018-03-25,198.0,59.95989304812834,26.24,pre_covid
2018-04-01,221.42857142857144,57.56149732620321,28.004285714285714,pre_covid
2018-04-08,201.57142857142856,56.76203208556149,30.69428571428572,pre_covid
2018-04-15,174.14285714285714,56.76203208556149,29.027142857142856,pre_covid
2018-04-22,259.1428571428572,49.56684491978609,31.395714285714284,pre_covid
2018-04-29,264.57142857142856,53.56417112299465,33.107142857142854,pre_covid
2018-05-06,182.8571428571429,53.56417112299465,33.82,pre_covid
2018-05-13,221.0,53.56417112299465,34.08571428571428,pre_covid
2018-05-20,199.0,58.36096256684492,35.50142857142857,pre_covid
2018-05-27,244.42857142857144,56.76203208556149,37.29857142857143,pre_covid
2018-06-03,227.7142857142857,59.16042780748663,36.59857142857143,pre_covid
2018-06-10,159.42857142857142,63.957219251336895,36.46428571428572,pre_covid
2018-06-17,351.42857142857144,62.35828877005348,37.12571428571429,pre_covid
2018-06-24,190.28571428571428,57.56149732620321,37.91285714285714,pre_covid
2018-07-01,104.42857142857144,54.07717349861666,33.892857142857146,pre_covid
2018-07-08,137.14285714285714,54.75313816734936,34.06142857142857,pre_covid
2018-07-15,113.0,57.4569968422802,32.902857142857144,pre_covid
2018-07-22,89.14285714285714,56.105067504814784,31.51,pre_covid
2018-07-29,72.85714285714286,55.42910283608207,29.235714285714288,pre_covid
2018-08-05,186.42857142857144,57.4569968422802,28.391428571428573,pre_covid
2018-08-12,100.14285714285714,57.4569968422802,28.82,pre_covid
2018-08-19,95.71428571428572,55.42910283608207,29.454285714285717,pre_covid
2018-08-26,88.28571428571429,54.75313816734936,28.78857142857143,pre_covid
2018-09-02,89.42857142857143,54.07717349861666,27.87,pre_covid
2018-09-09,92.85714285714286,52.72524416115124,27.465714285714284,pre_covid
2018-09-16,99.57142857142856,53.40120882988395,26.94428571428572,pre_covid
2018-09-23,123.14285714285714,55.42910283608207,26.467142857142857,pre_covid
2018-09-30,131.42857142857142,58.80892617974561,25.672857142857143,pre_covid
2018-10-07,191.42857142857144,67.59646687327083,25.60571428571429,pre_covid
2018-10-14,224.0,66.92050220453811,23.927142857142854,pre_covid
2018-10-21,291.57142857142856,63.54067886087457,23.434285714285718,pre_covid
2018-10-28,323.1428571428572,65.5685728670727,22.04,pre_covid
2018-11-04,342.85714285714283,59.48489084847832,22.37857142857143,pre_covid
2018-11-11,380.57142857142856,56.105067504814784,19.04714285714286,pre_covid
2018-11-18,314.2857142857143,58.80892617974561,20.08428571428572,pre_covid
2018-11-25,314.1428571428572,57.4569968422802,18.612857142857145,pre_covid
2018-12-02,331.0,54.07717349861666,18.427142857142854,pre_covid
2018-12-09,347.57142857142856,60.16085551721103,16.157142857142855,pre_covid
2018-12-16,313.42857142857144,58.13296151101291,14.357142857142858,pre_covid
2018-12-23,384.8571428571428,57.4569968422802,12.191428571428572,pre_covid
2018-12-30,404.57142857142856,52.72524416115124,10.661428571428573,pre_covid
